q,p,exact_width,envelope
0.2,0.49999999999999994,0.4,0.4
0.2,0.5024949999999999,0.39999252992349865,0.4
0.2,0.5049899999999999,0.3999701191359635,0.4
0.2,0.507485,0.39993276596319804,0.4
0.2,0.50998,0.3998804676145266,0.4
0.2,0.512475,0.39981322018227416,0.4
0.2,0.5149699999999999,0.3997310186410354,0.4
0.2,0.517465,0.3996338568467362,0.4
0.2,0.51996,0.399521727535485,0.4
0.2,0.522455,0.3993946223222145,0.4
0.2,0.5249499999999999,0.399252531699114,0.4
0.2,0.5274449999999999,0.39909544503384936,0.4
0.2,0.52994,0.39892335056757283,0.4
0.2,0.532435,0.3987362354127207,0.4
0.2,0.53493,0.39853408555059733,0.4
0.2,0.5374249999999999,0.3983168858287464,0.4
0.2,0.53992,0.39808461995810684,0.4
0.2,0.542415,0.3978372705099535,0.4
0.2,0.54491,0.3975748189126209,0.4
0.2,0.5474049999999999,0.3972972454480096,0.4
0.2,0.5498999999999999,0.3970045292478725,0.4
0.2,0.552395,0.39669664828988216,0.4
0.2,0.55489,0.39637357939347495,0.4
0.2,0.5573849999999999,0.39603529821547284,0.4
0.2,0.5598799999999999,0.39568177924548026,0.4
0.2,0.562375,0.39531299580105406,0.4
0.2,0.56487,0.3949289200226461,0.4
0.2,0.567365,0.39452952286831505,0.4
0.2,0.5698599999999999,0.39411477410820733,0.4
0.2,0.572355,0.39368464231880307,0.4
0.2,0.57485,0.3932390948769276,0.4
0.2,0.577345,0.39277809795352386,0.4
0.2,0.5798399999999999,0.3923016165071848,0.4
0.2,0.5823349999999999,0.3918096142774439,0.4
0.2,0.58483,0.39130205377781996,0.4
0.2,0.587325,0.3907788962886146,0.4
0.2,0.58982,0.39024010184946006,0.4
0.2,0.5923149999999999,0.3896856292516136,0.4
0.2,0.59481,0.3891154360299973,0.4
0.2,0.597305,0.3885294784549778,0.4
0.2,0.5998,0.3879277115238864,0.4
0.2,0.6022949999999999,0.38731008895227315,0.4
0.2,0.6047899999999999,0.3866765631648938,0.4
0.2,0.607285,0.38602708528642593,0.4
0.2,0.60978,0.3853616051319094,0.4
0.2,0.6122749999999999,0.38468007119691017,0.4
0.2,0.6147699999999999,0.38398243064740123,0.4
0.2,0.617265,0.3832686293093588,0.4
0.2,0.61976,0.38253861165806874,0.4
0.2,0.622255,0.3817923208071397,0.4
