gamma,candidate_lower,baseline_upper,improvement_certificate
3.45,0.45151515151515154,0.5484848484848486,-0.09696969696969704
3.46,0.4512096774193548,0.5487903225806452,-0.09758064516129039
3.47,0.4509054325955734,0.5490945674044265,-0.0981891348088531
3.48,0.4506024096385542,0.5493975903614459,-0.09879518072289167
3.49,0.4503006012024048,0.5496993987975952,-0.09939879759519044
3.5,0.44999999999999996,0.55,-0.10000000000000009
3.5100000000000002,0.4497005988023952,0.5502994011976048,-0.10059880239520957
3.52,0.44940239043824703,0.5505976095617531,-0.10119521912350604
3.5300000000000002,0.4491053677932405,0.5508946322067595,-0.10178926441351899
3.54,0.44880952380952377,0.5511904761904762,-0.10238095238095246
3.5500000000000003,0.44851485148514847,0.5514851485148515,-0.10297029702970306
3.56,0.44822134387351775,0.5517786561264822,-0.1035573122529645
3.57,0.44792899408284026,0.5520710059171597,-0.10414201183431948
3.58,0.44763779527559056,0.5523622047244094,-0.10472440944881889
3.59,0.44734774066797645,0.5526522593320236,-0.10530451866404711
3.6,0.44705882352941173,0.5529411764705883,-0.10588235294117654
3.61,0.44677103718199607,0.5532289628180039,-0.10645792563600787
3.62,0.446484375,0.5535156250000001,-0.10703125000000008
3.63,0.4461988304093567,0.5538011695906433,-0.10760233918128659
3.64,0.4459143968871595,0.5540856031128405,-0.108171206225681
3.65,0.44563106796116503,0.554368932038835,-0.10873786407766994
3.66,0.4453488372093023,0.5546511627906977,-0.10930232558139541
3.67,0.44506769825918757,0.5549323017408123,-0.10986460348162475
3.68,0.44478764478764476,0.5552123552123552,-0.11042471042471047
3.69,0.4445086705202312,0.5554913294797688,-0.11098265895953757
3.7,0.4442307692307692,0.5557692307692308,-0.11153846153846159
3.71,0.4439539347408829,0.556046065259117,-0.11209213051823413
3.72,0.4436781609195402,0.5563218390804598,-0.11264367816091964
3.73,0.4434034416826004,0.5565965583173996,-0.11319311663479925
3.74,0.4431297709923664,0.5568702290076336,-0.11374045801526722
3.75,0.44285714285714284,0.5571428571428572,-0.11428571428571432
3.7600000000000002,0.44258555133079847,0.5574144486692016,-0.11482889733840318
3.77,0.4423149905123339,0.557685009487666,-0.11537001897533206
3.7800000000000002,0.4420454545454545,0.5579545454545455,-0.11590909090909096
3.79,0.4417769376181474,0.5582230623818525,-0.11644612476370508
3.8000000000000003,0.44150943396226416,0.558490566037736,-0.11698113207547178
3.81,0.4412429378531073,0.5587570621468927,-0.11751412429378538
3.82,0.4409774436090225,0.5590225563909774,-0.1180451127819549
3.83,0.4407129455909944,0.5592870544090056,-0.11857410881801123
3.84,0.44044943820224713,0.5595505617977528,-0.11910112359550562
3.85,0.4401869158878504,0.5598130841121496,-0.11962616822429917
3.86,0.43992537313432833,0.5600746268656717,-0.12014925373134333
3.87,0.4396648044692737,0.5603351955307263,-0.12067039106145261
3.88,0.43940520446096654,0.5605947955390335,-0.12118959107806693
3.89,0.43914656771799626,0.5608534322820037,-0.12170686456400742
3.9,0.4388888888888889,0.5611111111111111,-0.12222222222222223
3.91,0.4386321626617375,0.5613678373382625,-0.12273567467652496
3.92,0.4383763837638376,0.5616236162361623,-0.12324723247232472
3.93,0.43812154696132594,0.561878453038674,-0.12375690607734807
